Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,50,0,400,472.76412456008984,194.2334950008444,1227.4340520007172,697.74,1.6653034852005708,0.0,400,470,520,720,780,810,1200,1200,1200,1200,1200
GET,/organizer/,1323,0,220,231.8303536432306,22.069472000112,828.5848880004778,24529.21239606954,44.06393021840711,0.0,220,270,300,320,350,390,430,470,590,830,830
POST,/organizer/ (cancel),296,0,250,259.9532867195772,24.183999999877415,699.7941800000262,27.0,9.85859663238738,0.0,250,310,330,350,390,430,480,550,700,700,700
POST,/organizer/ (create),1374,0,300,302.96335284716207,27.4652789994434,869.586036000328,18.273653566229985,45.76253977331169,0.0,300,350,380,390,440,480,530,590,810,870,870
PATCH,/organizer/ (update),446,0,390,384.1271059461705,31.93354500035639,999.6328440001889,27.0,14.854507087989091,0.0,390,440,470,490,540,590,650,770,1000,1000,1000
POST,/organizer/match,294,0,250,253.67389630952374,25.400704000276164,965.9443520004061,27.0,9.791984492979356,0.0,250,290,320,330,380,420,440,450,970,970,970
GET,/organizer/teams,1106,0,160,174.53237746654835,11.744090000320284,872.6989440001489,1631.762206148282,36.83651309263663,0.0,160,200,230,250,280,320,370,390,500,870,870
,Aggregated,4889,0,250,258.2330145273039,11.744090000320284,1227.4340520007172,7024.922069952956,162.83337478291182,0.0,250,300,340,360,410,470,530,600,970,1200,1200
