Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/verification/verify,24115,20034,53,52.53997801874336,3.8534320000280786,235.58631699995658,63.21517727555464,802.7454821517385,666.8962467106751,53,59,63,65,72,78,93,110,140,220,240
,Aggregated,24115,20034,53,52.53997801874336,3.8534320000280786,235.58631699995658,63.21517727555464,802.7454821517385,666.8962467106751,53,59,63,65,72,78,93,110,140,220,240
