Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/search/competences,5845,0,76,81.89490874815999,4.33495300001141,805.5054029999837,20.91736526946108,194.64681264494675,0.0,76,86,95,100,130,160,190,220,320,810,810
GET,/search/projects,5839,0,100,107.06460801181623,9.225366999999096,1000.7395810000617,75.98647028600787,194.44700411186383,0.0,100,110,120,130,160,190,230,260,390,1000,1000
GET,/search/projects/{id},5966,0,150,156.6042570886692,14.770317999932558,892.277498999988,1279.233489775394,198.6762847287857,0.0,150,170,180,200,230,270,310,340,850,890,890
GET,/search/roles,6001,0,76,82.39807440843178,4.359060999945541,854.9717319999672,23.08815197467089,199.84183450510272,0.0,76,87,96,100,130,160,190,220,330,850,850
,Aggregated,23651,0,94,107.08206122912306,4.33495300001141,1000.7395810000617,352.4758361168661,787.6119359906991,0.0,94,120,130,150,180,210,250,280,430,890,1000
