Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,238,0,1400,1535.5517725966367,204.62406299998293,4091.152701999931,687.390756302521,7.945541313868773,0.0,1400,1700,1900,2200,2900,3000,3800,3900,4100,4100,4100
PATCH,/me/password,153,0,1300,1267.6163675686323,195.7608570000957,3075.5638020000333,27.0,5.107847987487069,0.0,1300,1500,1600,1700,1900,2200,2600,2800,3100,3100,3100
POST,/register (organizer),125,0,1700,1726.142059896016,216.22794199993223,4059.623062000014,699.0,4.173078421149566,0.0,1700,1900,2100,2300,2700,2800,3200,3200,4100,4100,4100
POST,/register (user),152,0,1500,1591.3373590855258,382.5738820000879,3498.0006830001003,685.0,5.074463360117872,0.0,1500,1900,2100,2100,2500,2700,3200,3500,3500,3500,3500
GET,/token/revoke,95,0,1000,1044.7601985052663,5.228626999951302,2762.842823000028,20.0,3.17153960007367,0.0,1000,1300,1400,1500,1900,2200,2500,2800,2800,2800,2800
GET,/token/revoke-all,55,0,1100,1071.616888981831,22.19319199991787,2507.4346310000237,20.0,1.836154505305809,0.0,1100,1300,1400,1500,1700,1900,2200,2500,2500,2500,2500
GET,/token/verify,1102,0,790,871.6281258620717,3.573920000008002,3295.4351029999316,201.45553539019963,36.78985936085457,0.0,790,1100,1200,1300,1500,1800,2000,2200,2900,3300,3300
POST,/tokens/refresh,263,0,1300,1271.2992117490594,8.58728399998654,3448.4693690000086,688.5475285171103,8.780156998098686,0.0,1300,1600,1700,1700,2000,2400,2800,3000,3400,3400,3400
,Aggregated,2183,0,1100,1131.5321563563944,3.573920000008002,4091.152701999931,350.5803939532753,72.87864154695602,0.0,1100,1300,1500,1700,2000,2400,2900,3100,3900,4100,4100
